County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
BULLOCH,8,sinkhole,12,4,21,11,0,0,199,144,209,146,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,2,2,0,0,17,7,23,8,0,0,488,324
BULLOCH,88888,88888,3,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0
BULLOCH,9,register,109,36,166,91,0,0,253,165,275,165,0,0,0,0,2,2,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,44,8,41,11,1,1,899,485
BULLOCH,99999,99999,1,1,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
FRANKLIN,1,carnesville,38,17,44,23,0,0,944,632,992,669,0,0,6,1,4,0,0,0,3,2,7,2,0,0,1,1,0,0,0,0,2,0,2,0,0,0,64,16,50,19,1,1,2158,1383
FRANKLIN,2,west franklin,22,11,39,20,0,0,696,435,700,421,0,0,1,0,2,1,0,0,5,2,9,3,0,0,1,0,0,0,0,0,3,0,1,0,0,0,68,12,50,8,1,1,1598,914
FRANKLIN,3,northeast franklin,57,26,60,31,0,0,1120,687,1206,702,0,0,5,2,2,1,0,0,13,7,7,5,0,0,1,0,0,0,0,0,1,1,6,5,0,0,78,20,91,27,0,0,2647,1514
FRANKLIN,4,lavonia,139,49,230,109,0,0,737,447,932,534,2,2,6,4,5,2,0,0,17,6,6,1,0,0,3,2,1,0,0,0,1,0,8,5,0,0,78,22,71,16,0,0,2236,1199
FRANKLIN,5,canon,24,13,32,20,0,0,479,311,505,316,0,0,7,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,26,8,27,7,0,0,1112,678
FRANKLIN,6,royston,87,36,115,56,0,0,731,459,881,508,0,0,8,3,9,5,0,0,3,0,11,4,1,0,0,0,1,1,0,0,6,1,8,3,0,0,64,20,55,18,2,0,1982,1114
FRANKLIN,7,southwest franklin,37,5,37,9,0,0,950,610,989,655,0,0,1,1,5,2,0,0,7,2,11,7,0,0,4,2,0,0,0,0,4,2,3,1,0,0,95,36,68,34,1,1,2212,1367
FRANKLIN,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
DOUGLAS,1258,mirror lake elementa,900,477,1228,786,3,2,1453,787,1671,916,1,0,49,20,51,17,0,0,109,40,112,44,0,0,5,1,4,0,0,0,31,15,54,32,0,0,303,115,315,144,4,0,6293,3396
DOUGLAS,1259,winston,356,205,459,289,1,1,357,216,394,219,0,0,10,4,5,2,0,0,32,9,32,18,0,0,5,1,2,1,0,0,5,2,10,4,0,0,83,36,89,39,3,3,1843,1049
DOUGLAS,1260,dog river library,287,184,315,230,0,0,1724,1145,1821,1250,3,2,7,2,8,3,0,0,36,15,27,13,0,0,4,3,6,3,0,0,17,8,21,15,1,1,195,99,160,94,1,1,4633,3068
